category,cost,clicks
search,0.1254,6
jkl,0.052,0
social,5.7576,333
social,0.2843,15
social,0.0009,0
influencer,0.0602,0
social,0.7299,35
jkl,0.0015,0
search,0.0087,0
social,0.0123,0
jkl,0.0084,0
social,0.0009,0
influencer,0.0039,0
jkl,0.3226,1
search,0.4827,48
influencer,0.3899,6
influencer,0.0019,0
social,7.3203,232
jkl,0.03,0
influencer,195.5395,1440
influencer,16.8185,165
search,0.0521,7
social,0.0099,2
jkl,0.0182,2
influencer,5.9342,31
search,0.1377,7
social,9.3858,660
search,1078.73,175
jkl,2.3474,14
social,6.3236,50
search,0.8496,8
jkl,1.311,28
social,2.7824,46
influencer,12.3568,92
jkl,0.0014,0
search,0.2368,7
jkl,0.1985,3
influencer,15.0651,510
jkl,0.0997,1
influencer,0.2359,9
search,0.1713,4
influencer,0.2866,7
jkl,0.0015,0
social,8.3222,261
social,2.44,35
influencer,0.6886,5
influencer,2.9339,97
social,0.0001,0
influencer,5.9351,74
search,1.1622,15
social,2.401,42
jkl,0.0586,0
social,0.294,1
influencer,0.2912,0
influencer,0.0015,0
social,0.0039,1
jkl,6.5394,69
jkl,0.0376,0
social,0.1702,13
jkl,0.9393,24
search,0.0988,7
search,0.2465,6
influencer,2.2272,33
social,4.789,53
social,0.2134,7
search,0.4015,23
search,0.192,2
influencer,0.2247,1
influencer,7.3836,108
social,3.9372,127
search,3.1431,13
social,13.9739,175
search,1.8722,19
influencer,0.1096,1
social,38.7431,2997
search,0.3558,6
jkl,0.0026,1
social,13.3236,164
social,308692.0,11990
social,0.4454,0
jkl,0.0167,0
social,0.3881,16
influencer,3.0733,111
influencer,0.0071,0
social,0.0006,0
social,4.5533,209
social,7.4969,58
,0.0032,0
search,4.2116,28
jkl,0.0057,1
social,25.9813,1408
social,3.0045,131
jkl,0.001,0
social,2.0548,94
social,0.0164,1
jkl,0.575,7
influencer,0.0076,0
jkl,0.004,0
jkl,0.0164,0
jkl,0.009,0
influencer,0.0219,0
jkl,0.4516,11
search,0.1645,3
social,3.0836,147
influencer,0.0537,0
influencer,0.167,0
influencer,215.537,5266
jkl,0.072,0
influencer,4.0616,71
jkl,0.2915,12
social,6.3952,55
search,1.0771,74
influencer,0.0093,0
search,0.2152,1
jkl,0.0019,0
social,0.0002,0
influencer,0.1039,0
influencer,1.934,21
search,18.5802,138
social,0.6429,57
search,0.5535,6
search,0.0465,0
social,4.0879,46
search,0.0107,0
jkl,0.0072,0
jkl,0.4421,1
search,54.6992,359
social,0.0017,0
influencer,0.016,0
social,313.7359,2073
influencer,0.7494,12
,0.0008,0
search,0.0887,1
influencer,0.0506,0
social,3.1377,219
social,94564.2,2408
search,0.1686,15
search,0.044,2
jkl,0.0008,0
jkl,0.0587,4
jkl,0.0035,0
social,10.2029,150
jkl,0.0054,0
jkl,0.0319,0
social,21.5047,185
influencer,4.6563,162
social,9.3481,81
influencer,0.0016,0
social,0.0224,0
search,0.0129,0
jkl,0.0047,0
social,0.0021,0
social,5.8981,63
influencer,0.8008,56
social,0.1584,9
search,1.4685,13
social,0.0027,0
social,5.033,41
influencer,299.9221,7020
jkl,0.0167,0
social,20.1963,208
jkl,0.382,7
jkl,0.0106,0
influencer,9.9578,232
influencer,0.0096,0
search,9.4076,57
social,2.0228,22
influencer,0.0102,0
influencer,0.002,0
jkl,0.1007,3
social,57.5478,567
social,0.2219,2
search,0.1184,2
influencer,5.4888,48
jkl,0.4296,10
influencer,0.3842,0
influencer,23.1563,393
jkl,0.0562,0
jkl,0.1142,0
influencer,5.356,217
social,0.0002,0
social,0.0008,0
social,0.0071,0
social,7.248,94
search,0.5106,4
influencer,6.2983,96
social,0.2972,3
jkl,0.0025,0
jkl,2.8086,31
search,9444.12,907
search,0.2875,41
influencer,0.489,6
social,6.481,291
search,22.8326,202
influencer,4.1819,86
social,0.0019,0
search,0.0149,0
social,0.4493,40
influencer,1.2109,66
jkl,0.0109,0
search,0.213,8
influencer,0.1835,0
influencer,0.0027,0
jkl,0.0095,0
search,0.2576,5
search,0.8606,28
jkl,0.008,0
jkl,0.0259,0
jkl,1.8812,61
influencer,0.076,0
search,0.602,14
social,17.5068,120
search,0.106,4
search,1.0537,67
jkl,0.0286,0
search,12.9997,49
influencer,0.0613,0
search,0.1399,6
influencer,0.1525,0
search,0.0878,4
influencer,0.6783,15
search,0.0941,7
jkl,0.7904,3
influencer,0.5499,5
social,85.426,5634
jkl,0.0228,0
jkl,0.0986,0
search,0.7266,6
social,2.52,154
jkl,0.192,5
search,1.1254,50
influencer,0.0004,0
social,37.5937,213
social,3.04,40
search,0.1347,12
search,0.1489,2
search,0.1553,0
social,6.6038,68
search,1.6687,13
jkl,0.006,0
jkl,0.0261,0
search,0.3876,4
influencer,0.0152,0
search,0.3322,11
social,0.4294,5
search,0.0425,0
influencer,0.0441,0
search,0.0224,0
social,7.705,426
jkl,0.0013,0
social,1.3794,22
jkl,0.9745,21
influencer,0.1665,1
influencer,0.0021,0
influencer,0.0048,0
influencer,3.6121,99
social,0.0111,0
influencer,36.5408,332
search,74.7667,410
jkl,0.0074,0
jkl,0.0026,0
influencer,0.4876,3
influencer,14.4199,439
social,0.014,0
social,4.7049,53
jkl,0.014,0
jkl,0.024,1
influencer,0.2571,14
social,2.326,33
search,1.199,34
jkl,0.0299,0
jkl,0.0024,0
influencer,0.0475,0
search,39.9834,306
influencer,377.3068,10256
jkl,0.1025,6
search,0.0202,1
social,0.8604,61
jkl,2.2518,32
jkl,0.2495,2
influencer,0.1223,1
social,2.6637,158
social,170.7056,1111
social,3.808,26
social,0.7887,24
jkl,0.0007,0
social,0.8716,5
search,0.0015,1
jkl,0.0038,0
search,0.1773,9
social,0.2441,0
jkl,0.0782,0
influencer,0.2678,2
social,0.0225,0
jkl,0.0109,0
social,7.1651,89
influencer,2.0397,57
influencer,0.0021,0
social,0.0194,1
social,20.4072,197
search,0.0017,1
jkl,0.0019,0
search,0.2564,23
social,12.5518,158
jkl,0.0552,0
influencer,0.0019,0
influencer,0.0679,0
jkl,0.009,0
social,19.4254,142
influencer,12.2763,38
social,1.4061,74
jkl,2.7666,83
influencer,0.0317,0
influencer,0.6375,17
influencer,0.203,4
social,0.0277,0
jkl,0.015,0
search,4.46,46
jkl,0.0406,0
social,12.3332,707
social,2.8831,81
influencer,0.2066,2
social,201.7758,1090
social,5.1107,36
social,80.0387,368
influencer,1.9975,24
social,0.5847,9
jkl,1.255,8
,0.0016,0
search,0.2773,2
influencer,5.2816,88
social,30.2482,1416
influencer,1.7225,19
jkl,0.0006,0
search,0.3129,11
social,0.3567,10
social,35.3542,1894
influencer,1.6325,54
search,0.1964,1
search,1.0,7
influencer,38.5261,1109
search,0.0252,0
social,298.372,1389
social,124.5157,656
influencer,0.701,15
social,0.007,0
jkl,0.209,2
influencer,0.004,0
social,2.6525,23
social,0.1917,9
search,0.1546,10
influencer,18.9018,765
social,4.3815,70
social,0.4088,6
social,38890.3,5406
jkl,0.0055,0
influencer,37.2505,932
influencer,6.6304,28
social,0.1392,1
social,1.6608,81
jkl,0.2216,0
influencer,0.695,59
,0.0112,0
jkl,0.075,1
social,0.4829,2
social,6.2312,296
search,435770.0,28810
search,0.4426,18
search,1.0942,8
influencer,0.2751,8
jkl,0.0052,0
jkl,3.9767,193
search,2.4948,100
jkl,33.2776,631
social,336.111,2042
search,0.2721,12
influencer,23.658,683
social,1.0389,69
social,1.1525,91
social,0.0006,0
search,30645.4,1810
influencer,0.0168,0
influencer,0.1875,2
jkl,0.0101,0
social,56874.2,28796
influencer,1.875,18
search,19.9491,138
jkl,0.0486,0
search,0.1892,6
social,306.834,1497
search,0.002,0
,0.02,0
jkl,0.1466,2
social,0.0016,0
jkl,0.1649,6
search,0.1852,13
jkl,0.0471,0
social,7.9791,102
jkl,10.0831,329
social,0.0404,0
,0.0056,0
influencer,15.9797,443
social,0.0179,0
social,0.3767,1
social,0.0009,0
jkl,0.264,2
influencer,0.0184,0
search,2.3917,80
jkl,0.0033,0
influencer,1.6318,29
jkl,2.4818,8
influencer,0.0238,0
search,0.0513,3
jkl,0.0738,0
social,3.1887,188
influencer,0.0004,0
social,0.1349,8
search,0.0024,0
,0.0006,0
social,1.3132,39
jkl,7.1073,243
search,0.4604,4
social,0.3271,49
social,0.0138,0
search,0.6917,26
influencer,0.013,0
influencer,5.2236,113
influencer,0.5483,34
influencer,0.0003,0
jkl,0.3765,8
search,0.0101,1
influencer,155.9026,892
social,31.9834,220
social,2.5281,169
jkl,0.0552,0
search,0.0137,1
social,0.4988,28
influencer,33.6581,323
search,0.5298,27
jkl,0.0089,2
influencer,0.0004,0
social,0.0384,2
social,0.2532,30
jkl,0.0662,1
jkl,0.0102,0
jkl,0.0903,0
social,0.123,4
influencer,4.0708,80
social,121.656,859
social,0.0012,0
influencer,0.0707,1
search,6.6785,811
social,0.0074,0
jkl,0.0173,0
influencer,11.7855,371
social,0.6518,39
influencer,35.6804,352
search,42.3415,221
search,0.0019,0
jkl,0.1077,5
influencer,1.5976,42
social,5.7544,31
influencer,5.2037,44
social,19.948,90
social,3.4109,241
jkl,0.0036,0
social,97.3928,1082
search,0.4528,3
jkl,4.3192,58
social,4.488,138
jkl,0.0485,0
social,2.8885,34
social,0.0076,0
jkl,0.1162,0
influencer,0.0569,5
influencer,0.0517,0
influencer,18.2831,567
social,0.1782,16
influencer,0.0666,0
jkl,1.0548,5
jkl,0.4682,6
jkl,0.0124,0
influencer,0.1275,0
social,0.2154,0
jkl,0.4497,9
social,1.7178,141
social,2.1282,21
influencer,0.0697,0
search,1.2887,50
jkl,1.1607,25
jkl,1.3567,3
search,0.8485,17
search,15.9764,163
jkl,0.0366,0
jkl,6.3967,95
influencer,6.9396,45
jkl,0.0402,0
jkl,0.0106,1
social,2.7595,167
influencer,33.7212,825
social,3.872,54
search,0.2964,10
search,0.0539,0
social,3.4759,20
jkl,0.0804,2
influencer,1.9373,95
jkl,1.2957,24
search,0.0329,2
social,3.2466,28
jkl,0.3972,4
influencer,0.8736,12
influencer,156.2737,1111
social,14.7639,169
jkl,0.0006,0
social,0.5751,15
search,0.2738,11
influencer,0.8465,3
jkl,0.0155,0
search,0.007,0
social,0.3493,16
search,0.4422,7
search,0.0205,1
jkl,0.2898,6
influencer,0.0056,0
social,7.7819,53
social,3.3205,203
jkl,0.0376,0
influencer,0.0314,0
social,0.4214,30
jkl,0.013,0
influencer,0.0694,0
search,0.0018,0
search,0.2588,6
social,0.2798,10
influencer,13919.1,2996
social,0.6795,58
influencer,0.2512,9
jkl,0.0043,0
influencer,0.5316,42
influencer,1.2048,8
jkl,0.0147,0
jkl,0.2267,1
influencer,0.028,0
search,0.0693,8
jkl,0.037,0
search,2.2639,40
social,2.1829,20
social,0.0708,1
social,2.7122,41
search,9.2737,98
social,0.0924,1
search,7.9513,49
influencer,0.4109,5
jkl,3.8773,71
search,0.1686,7
jkl,0.0008,0
search,0.0887,4
jkl,0.5308,3
influencer,0.0542,0
social,32.2127,2669
social,0.017,0
jkl,0.8504,5
search,34.0362,169
social,0.2818,11
jkl,0.025,0
search,22542.0,2392
social,0.1927,4
influencer,187.7456,1900
influencer,6.8132,163
influencer,376.8738,9588
influencer,0.065,0
jkl,0.0103,0
influencer,12.0695,402
social,0.7012,7
social,5.5912,309
influencer,302.4739,2364
search,21.8438,135
social,3.2469,151
search,0.0835,4
influencer,0.0114,0
influencer,3.8663,83
jkl,0.0359,1
jkl,31.9066,689
jkl,0.0066,0
search,0.7203,9
search,1.0442,10
social,3.7021,165
influencer,340.9117,9161
jkl,20.283,234
jkl,0.1604,1
search,5.003,54
search,0.1173,2
social,0.0398,0
influencer,0.1126,7
influencer,0.0094,0
influencer,0.0003,0
influencer,2.7086,40
influencer,166.2193,12868
search,0.3199,5
social,42.24,440
social,0.1529,6
jkl,0.0013,0
social,1.6467,7
social,0.0273,2
social,2.7181,201
social,1.9026,54
jkl,0.0769,0
jkl,0.0006,0
social,3.2666,149
social,1.161,42
social,125.2563,840
jkl,6.5266,85
jkl,0.0025,0
social,2.5234,184
jkl,0.017,0
jkl,0.0088,0
social,24.8835,981
,0.008,0
jkl,0.1604,2
jkl,0.0035,0
search,21.8763,254
influencer,0.0036,0
social,4.8022,108
social,35.5588,2570
,0.004,0
social,3.5894,257
search,14.4934,83
social,0.1526,16
search,0.2352,14
social,4.8828,47
jkl,0.6214,15
influencer,0.3071,1
influencer,14.4412,154
jkl,0.2872,6
social,2.6023,195
influencer,0.0201,0
social,12.3744,192
social,0.0001,0
jkl,0.0096,2
search,1.0547,10
search,10.6508,618
influencer,0.0043,0
influencer,29.8908,772
search,0.1647,4
social,0.3507,5
influencer,1.6352,28
influencer,6.8059,66
search,0.3911,24
social,0.0042,0
jkl,0.0339,0
influencer,0.9769,46
social,1.5317,6
search,0.2868,0
social,25.1322,1613
search,1.0094,6
social,0.0,0
search,0.0442,5
social,0.5515,3
influencer,0.0031,0
jkl,0.0031,0
jkl,8.1203,440
search,18.2512,691
jkl,0.6039,14
social,3.4021,177
jkl,0.0088,0
influencer,0.5925,8
influencer,238.033,2530
search,0.0591,3
social,84.2726,720
social,142.1156,620
search,0.8941,57
influencer,0.016,0
search,0.0774,0
influencer,0.2873,0
jkl,2.4184,12
social,0.0478,0
jkl,0.0511,0
influencer,0.0723,1
jkl,0.1185,1
social,7.3901,41
search,8.24,143
social,1.5183,127
search,0.9547,15
jkl,7.2697,282
influencer,0.0067,0
social,0.0192,0
social,0.0057,2
search,1.2133,19
influencer,0.4775,3
search,0.591,18
search,0.005,0
search,7.1803,169
search,0.0335,0
social,1.7612,103
social,1.4369,113
jkl,0.0076,0
social,47.8089,436
jkl,9.2767,110
social,0.0114,0
social,0.0638,0
influencer,5.0765,99
social,1.5448,30
search,0.1427,1
influencer,0.0199,0
influencer,0.0372,0
social,0.2638,2
social,0.2857,1
search,10.104,67
search,8.4694,55
social,338.358,1657
social,0.9235,57
influencer,2.6398,86
jkl,0.6201,2
jkl,6.0226,228
jkl,0.0212,0
social,5.9255,47
social,0.2396,0
social,263.0381,1551
social,11.8649,514
social,0.5242,7
jkl,0.0203,0
search,0.2954,1
social,135.7462,762
social,0.9435,72
jkl,0.6021,13
search,1.7844,83
social,0.1967,12
social,17.9954,1202
social,6.4677,95
social,1.0674,18
influencer,6.8843,84
social,5.8276,73
search,2.4497,23
social,7.3234,284
jkl,0.2068,3
influencer,6.2867,91
social,0.0012,0
influencer,0.0155,0
search,0.4428,16
social,0.0,0
social,43.7451,482
social,0.0047,1
social,0.0021,0
social,8.9646,423
influencer,8.2577,166
social,0.0358,0
jkl,0.2855,9
,0.0008,0
jkl,1.86,10
search,0.339,5
influencer,0.0997,0
influencer,0.1354,0
social,0.2501,11
influencer,0.2711,0
jkl,0.9236,18
social,5.1117,56
influencer,0.1192,0
search,190469.0,10809
social,0.8143,51
jkl,0.0066,0
social,5.6958,313
influencer,352.1595,9309
social,2.5747,69
jkl,0.0308,0
jkl,0.1118,0
jkl,17.6216,951
social,3.8735,198
jkl,0.2486,4
jkl,0.0064,0
influencer,0.3615,10
influencer,0.2412,9
social,14.3496,1159
jkl,0.033,0
influencer,2.4218,18
influencer,14.5052,311
search,0.0139,0
social,0.0107,0
social,0.5895,33
social,0.1041,4
social,0.0041,0
social,4.1417,45
influencer,0.031,0
social,2198.05,3294
social,0.5444,4
influencer,0.0019,0
social,0.3515,20
search,0.8028,2
search,0.3911,10
social,0.6839,34
jkl,1.1098,42
influencer,10.5994,244
influencer,2.4034,90
social,251.9423,1545
influencer,0.0036,0
jkl,0.0007,0
jkl,0.0347,1
search,0.8973,21
jkl,0.0059,0
jkl,10.0232,791
search,1.1656,10
search,0.1088,1
search,0.0047,0
influencer,45.7472,865
social,47.2418,260
search,0.0031,0
search,1.659,52
influencer,0.131,0
search,0.3619,48
influencer,0.0012,0
,0.0016,0
influencer,0.2276,1
influencer,0.0258,0
,0.0016,0
social,76716.4,3595
jkl,0.0414,0
search,0.9853,50
jkl,0.6885,7
social,0.8059,6
influencer,0.0171,1
search,3.2141,155
,0.004,0
influencer,0.2511,0
social,28.7402,226
jkl,0.0706,0
social,1.1449,45
,0.004,0
influencer,0.0667,0
social,89.5553,533
influencer,0.0684,0
influencer,0.3531,15
influencer,1.2246,15
jkl,0.0245,0
jkl,24.0242,373
social,0.006,0
search,0.7951,13
search,1.4708,65
,0.004,0
search,1.0102,64
social,337.5558,1441
influencer,1.3531,8
social,5.4672,92
influencer,0.0473,1
jkl,0.267,1
search,0.5032,61
search,0.4578,36
social,4.519,253
social,0.0018,1
search,0.5941,15
social,186.2797,1401
influencer,0.9477,2
search,0.0349,0
social,0.0652,1
social,70.0686,274
search,9.8886,58
social,209.5279,1206
social,0.2547,6
social,83.9488,486
search,0.0106,0
influencer,0.0024,0
jkl,0.0197,0
search,0.4303,5
social,0.107,1
search,0.1214,5
social,9.7459,33
social,0.5274,1
search,0.4712,10
influencer,0.4521,3
social,8.5414,124
social,32.7957,2098
jkl,0.0799,1
search,9.7559,59
search,0.1105,2
search,0.0728,10
jkl,0.0066,0
search,0.0186,2
influencer,0.0635,0
influencer,0.008,0
social,0.001,0
search,0.2996,1
influencer,8.3004,69
influencer,22.4736,75
search,1.1114,86
influencer,0.9226,47
influencer,0.0219,0
,0.004,0
influencer,1.6344,12
jkl,0.0767,0
social,0.0449,8
search,0.1144,5
jkl,0.0602,0
jkl,0.1011,0
jkl,1.5179,8
influencer,0.0251,0
social,94399.9,15298
social,2.2496,27
influencer,11.8776,119
search,0.1412,2
jkl,0.7256,17
search,8.8886,56
search,6.1374,212
search,0.0302,2
search,0.1567,0
social,6.7035,105
influencer,0.1197,1
social,0.0001,0
influencer,42.1673,1164
social,0.1794,8
social,4.5335,41
social,0.2492,25
influencer,0.1007,1
influencer,1.4816,27
search,0.0111,1
influencer,0.1638,3
jkl,0.019,0
influencer,40.7769,850
media,193124.0,12602
social,0.6308,9
social,0.9043,4
influencer,0.0004,0
search,10.1498,32
social,0.3473,4
jkl,2.2328,45
search,0.0925,0
search,0.0354,0
influencer,0.056,0
jkl,0.002,0
jkl,0.3992,9
social,0.3338,17
search,0.2604,39
influencer,0.3279,2
search,0.6845,12
social,1.1376,90
jkl,0.0093,0
social,0.3196,6
search,0.0244,0
jkl,1.7893,43
search,3.4914,20
social,0.3339,15
search,0.0158,0
search,0.0144,0
search,12.1995,529
social,6.4682,109
influencer,2.0539,11
jkl,0.3729,12
search,0.4655,8
influencer,1.8462,6
social,12.6075,114
search,0.1364,6
influencer,0.0521,0
influencer,0.1149,1
influencer,0.11,1
influencer,25.9817,838
jkl,0.0054,0
search,0.39,20
jkl,0.0221,1
social,0.4676,4
jkl,0.0123,0
influencer,0.088,6
social,0.0001,0
social,2.2933,150
jkl,0.0338,1
search,4.4408,20
search,31.8656,169
search,0.0597,5
jkl,0.0573,2
influencer,1.5512,52
social,0.2342,4
search,0.9979,10
social,2.222,119
jkl,0.0689,1
jkl,28.8412,577
influencer,0.0021,0
social,4.194,324
,0.0048,0
influencer,0.0023,0
social,114.5384,482
jkl,0.0558,0
jkl,0.0072,0
jkl,0.0242,1
jkl,0.0085,0
influencer,0.0011,0
social,268.8108,1265
social,0.0014,0
jkl,0.0471,0
social,148.0878,1027
search,13.8794,175
influencer,0.118,1
social,14.0987,125
influencer,13.4196,273
social,47.2973,2335
social,7.8249,68
search,0.5811,8
influencer,0.0039,0
social,0.1226,6
search,5.2407,219
influencer,0.8286,7
search,1.2376,14
social,308.8014,1595
search,26.6446,196
social,0.0009,0
search,0.6083,13
,0.0032,0
influencer,0.0004,0
social,0.0651,4
social,1.066,0
social,0.0003,0
search,0.1112,2
social,0.4605,61
search,0.313,7
influencer,0.346,1
influencer,13.2308,71
social,0.0009,0
influencer,0.5564,9
jkl,2.2465,35
influencer,0.0249,0
social,2.8458,20
social,1.9142,25
influencer,0.0738,0
influencer,0.1047,1
influencer,0.0079,0
influencer,0.7412,18
social,1.3976,13
search,1.1463,16
jkl,0.0072,0
social,220.8876,1354
search,21.5939,140
influencer,0.0012,0
influencer,0.7447,29
search,0.4514,13
search,1.9523,19
social,171.0275,1195
social,393.9345,1215
search,0.8611,16
social,0.0,0
jkl,0.003,0
social,0.0003,0
search,1.4113,88
jkl,5.4008,49
search,1.0499,15
jkl,0.0279,1
social,0.0751,4
social,1.9794,112
social,7.789,65
influencer,0.0441,0
social,18.242,1269
jkl,0.1059,2
jkl,0.2499,4
influencer,14.5286,347
jkl,0.0737,1
search,0.5726,5
social,52.4908,300
jkl,7.5703,417
social,0.398,7
jkl,0.0456,0
influencer,0.1062,2
jkl,0.0025,0
social,0.2954,12
jkl,0.0519,0
search,0.8042,38
social,0.3254,3
jkl,0.0002,0
influencer,0.0003,0
social,1.0392,106
search,9.7558,372
influencer,8.5988,38
influencer,0.6479,13
influencer,0.9654,10
search,0.0249,1
search,0.2231,2
social,0.0112,0
search,1.3266,36
jkl,0.0021,0
social,310.0955,1333
jkl,9.9458,102
social,0.0671,0
jkl,0.0483,1
social,1.2893,34
social,4.078,177
jkl,0.004,0
search,0.067,1
search,0.9724,56
influencer,0.1953,0
jkl,0.0041,1
influencer,0.1734,6
search,0.0158,2
social,0.0,0
jkl,2.0876,49
jkl,0.3756,30
jkl,0.4274,13
influencer,0.0063,0
search,37.5667,215
search,35.4052,199
search,0.0409,2
jkl,0.0011,0
jkl,0.0106,0
jkl,0.0148,0
search,0.4159,4
jkl,0.2848,0
search,6768.87,899
social,0.015,0
jkl,0.0044,0
jkl,0.0008,0
social,192.8206,1626
social,0.002,0
influencer,1.174,5
social,0.0021,0
jkl,0.0062,0
jkl,0.0015,0
jkl,0.0033,0
jkl,0.8202,22
social,0.4535,3
jkl,0.0803,0
jkl,0.0227,1
social,0.0032,0
social,0.3003,28
jkl,0.001,0
social,12.8458,179
influencer,0.0164,0
social,0.4044,10
social,2.5776,52
influencer,10.1247,174
search,0.0066,0
influencer,0.0235,0
social,2.3187,43
,0.0048,0
search,1.3183,59
social,6.6703,32
search,0.1429,0
social,0.8105,73
search,0.1169,0
search,1.081,15
search,60.6279,270
social,0.793,33
search,0.0021,9
social,0.3444,10
jkl,0.5602,18
jkl,0.0045,0
social,97.0819,5609
social,4.7488,223
search,0.2554,27
search,0.1011,1
jkl,0.007,0
jkl,0.2203,1
influencer,10.5432,193
influencer,0.0222,0
influencer,0.3336,4
jkl,0.0083,0
search,2.6064,12
social,0.806,46
jkl,0.0045,0
social,5.9364,246
jkl,0.0006,0
search,0.6865,22
social,6.0315,57
jkl,0.1758,1
influencer,4.6656,63
influencer,0.8656,6
social,5.9675,81
jkl,0.0045,0
jkl,0.2035,9
influencer,34.0604,872
search,0.1683,4
influencer,11.97,1359
search,1.1337,10
search,0.1689,7
search,0.0019,0
influencer,351.9167,10237
jkl,0.0171,0
social,0.0007,0
social,0.036,0
social,0.4049,14
social,5.1672,310
social,1.7138,61
social,0.0597,2
jkl,0.339,12
influencer,1.5408,16
influencer,0.4583,24
social,0.0061,0
search,1.8737,50
jkl,0.0112,0
social,0.9805,90
jkl,0.0013,0
search,0.5393,9
jkl,0.0544,1
jkl,18.4549,209
social,3.4705,129
social,3.6768,62
influencer,0.3025,13
jkl,1.0524,29
search,27.8699,1035
social,0.0142,0
social,3.8404,36
search,2.3683,51
influencer,0.0004,0
search,2.6233,29
jkl,0.001,0
social,3.0032,230
,0.0136,0
jkl,0.0015,0
jkl,0.9043,3
jkl,0.1239,1
search,0.2805,60
influencer,1.1192,9
influencer,5.7295,94
influencer,3.4406,77
social,6.403,93
jkl,0.003,0
jkl,0.0604,0
social,19.5342,197
search,0.1118,9
influencer,0.109,1
search,0.0079,1
jkl,0.002,0
search,0.1294,3
influencer,0.0232,0
search,0.5325,29
search,0.3157,29
jkl,0.2221,6
influencer,0.002,0
influencer,0.1872,0
influencer,0.1625,2
search,1.1081,15
search,1.7173,12
influencer,9.8519,89
search,0.823,19
jkl,0.2218,16
search,0.0125,0
influencer,0.045,0
jkl,0.0837,3
jkl,0.1812,2
influencer,43.532,727
social,19196.6,10202
social,11.7386,174
search,0.4449,9
influencer,0.5142,11
social,43865.9,6596
social,0.1277,12
jkl,0.0301,0
influencer,0.0882,0
jkl,0.0814,0
search,10.1925,63
search,0.5985,66
search,0.7762,90
search,0.4433,29
influencer,0.5193,4
jkl,0.0008,0
search,0.4396,2
social,2.4788,169
influencer,0.7923,19
influencer,0.0275,0
jkl,0.1686,8
social,15.1202,158
social,4.9798,303
jkl,0.4907,16
social,0.0037,0
social,12.5544,416
jkl,0.104,3
search,1.7277,38
influencer,21.8905,91
jkl,0.004,0
influencer,11.9854,399
search,0.1119,10
influencer,0.0183,0
search,0.0154,0
jkl,0.015,0
search,0.2428,8
jkl,1.5488,48
influencer,0.0007,0
influencer,0.0694,0
social,2.5313,300
social,9.5694,356
social,0.1029,2
search,8.6136,39
influencer,1.0675,5
influencer,0.0012,0
influencer,0.1303,3
jkl,0.0149,0
social,81.3524,589
search,0.0104,0
jkl,0.003,0
social,0.0185,0
influencer,0.5576,6
influencer,0.0011,0
search,0.7235,5
influencer,1.9555,99
influencer,1.5285,58
influencer,0.7289,0
social,0.3642,3
social,0.0076,0
social,0.1293,2
jkl,0.037,0
social,8.1166,394
social,0.7431,23
influencer,0.1883,0
search,0.3842,5
influencer,0.2666,9
,0.0168,0
social,1.5554,7
social,0.0,0
social,7.3255,69
media,206424.0,33592
influencer,0.0483,0
jkl,0.0265,0
social,1.369,79
social,3.8116,147
jkl,0.007,0
social,2.2504,53
search,11.9486,62
social,2.9087,14
jkl,0.5791,20
influencer,0.0444,0
search,4.806,58
search,0.0025,0
jkl,3.8079,37
media,2791.06,426
search,5.0856,195
jkl,0.0,0
search,0.468,33
social,0.0008,0
social,0.0453,0
social,0.0006,0
social,0.4277,18
jkl,0.0041,0
search,0.0005,0
influencer,0.272,7
jkl,0.1384,11
jkl,0.287,4
social,1.1839,60
jkl,0.1368,4
search,0.1317,1
jkl,0.0008,0
search,0.9885,39
influencer,0.3149,7
jkl,0.0063,0
jkl,12.9512,230
influencer,0.0324,0
social,0.1473,0
jkl,0.1066,0
jkl,0.0413,0
jkl,0.0026,0
jkl,0.0076,0
social,0.0,0
,0.0016,0
social,0.2545,3
jkl,0.0077,0
jkl,0.0017,0
social,2.7392,37
influencer,1.3163,10
social,359.8801,2293
search,3.4843,214
search,0.2194,0
search,6.4931,42
social,8.8125,107
search,1.3153,15
search,0.6942,6
jkl,0.011,0
social,2.2079,21
jkl,0.3746,2
jkl,0.2652,0
social,2.011,114
influencer,0.0004,0
jkl,0.0449,1
social,86.5848,441
jkl,0.0055,0
social,27.4235,138
influencer,1.2058,14
influencer,0.6744,4
jkl,1.0193,12
influencer,0.9038,29
jkl,0.2324,4
search,0.3184,2
influencer,0.8974,33
influencer,1.2189,4
social,5.3469,81
influencer,0.3376,2
search,18.2143,492
influencer,0.1154,3
influencer,0.1372,2
social,0.0171,0
social,0.0258,2
social,0.3859,4
jkl,0.0008,1
social,0.0007,0
influencer,0.0249,0
social,62.9539,5001
search,1.3289,11
influencer,0.1325,0
jkl,0.0015,0
jkl,0.0329,0
social,0.0004,0
influencer,0.0007,0
influencer,0.0023,0
search,0.0824,15
social,0.5953,6
influencer,0.4712,11
social,0.3257,1
influencer,0.0008,0
search,0.3321,11
search,0.231,0
social,0.0804,0
influencer,1.3582,74
jkl,0.6932,9
search,0.0699,0
influencer,92.1346,5824
jkl,0.7338,26
jkl,0.0066,1
social,3.0676,191
influencer,5.4437,33
social,3.9609,232
influencer,0.0088,0
influencer,3.9366,74
jkl,0.0262,1
search,1.1618,16
social,27.3247,1409
influencer,0.4001,7
social,7.564,70
,0.0013,0
social,12.4383,193
influencer,0.4985,4
search,1.0997,59
