category,cost,leads
jkl,0.0007,0
social,0.8716,0
search,0.0015,0
jkl,0.0038,0
search,0.1773,0
social,0.2441,0
jkl,0.0782,0
influencer,0.2678,0
social,0.0225,0
jkl,0.0109,0
social,7.1651,2
influencer,2.0397,1
influencer,0.0021,0
social,0.0194,0
social,20.4072,4
search,0.0017,0
jkl,0.0019,0
search,0.2564,0
social,12.5518,3
jkl,0.0552,0
influencer,0.0019,0
influencer,0.0679,0
jkl,0.009,0
social,19.4254,3
influencer,12.2763,0
social,1.4061,1
jkl,2.7666,1
influencer,0.0317,0
influencer,0.6375,0
influencer,0.203,0
social,0.0277,0
jkl,0.015,0
search,4.46,1
jkl,0.0406,0
social,12.3332,19
social,2.8831,2
influencer,0.2066,0
social,201.7758,25
social,5.1107,0
social,80.0387,9
influencer,1.9975,0
social,0.5847,0
jkl,1.255,0
,0.0016,0
search,0.2773,0
influencer,5.2816,2
social,30.2482,33
influencer,1.7225,0
jkl,0.0006,0
search,0.3129,0
social,0.3567,0
social,35.3542,51
influencer,1.6325,1
search,0.1964,0
search,1.0,0
influencer,38.5261,29
search,0.0252,0
social,298.372,33
social,124.5157,17
influencer,0.701,0
social,0.007,0
jkl,0.209,0
influencer,0.004,0
social,2.6525,0
social,0.1917,0
search,0.1546,0
influencer,18.9018,17
social,4.3815,1
social,0.4088,0
social,38890.3,186
jkl,0.0055,0
influencer,37.2505,22
influencer,6.6304,0
social,0.1392,0
social,1.6608,2
jkl,0.2216,0
influencer,0.695,1
,0.0112,0
jkl,0.075,0
social,0.4829,0
social,6.2312,6
search,435770.0,732
search,0.4426,0
search,1.0942,0
influencer,0.2751,0
jkl,0.0052,0
jkl,3.9767,4
search,2.4948,2
jkl,33.2776,15
social,336.111,49
search,0.2721,0
influencer,23.658,18
social,1.0389,1
social,1.1525,2
social,0.0006,0
search,30645.4,65
influencer,0.0168,0
influencer,0.1875,0
jkl,0.0101,0
social,56874.2,88
influencer,1.875,0
search,19.9491,3
jkl,0.0486,0
search,0.1892,0
social,306.834,34
search,0.002,0
,0.02,0
jkl,0.1466,0
social,0.0016,0
jkl,0.1649,0
search,0.1852,0
jkl,0.0471,0
social,7.9791,2
jkl,10.0831,7
social,0.0404,0
,0.0056,0
influencer,15.9797,11
social,0.0179,0
social,0.3767,0
social,0.0009,0
jkl,0.264,0
influencer,0.0184,0
search,2.3917,1
jkl,0.0033,0
influencer,1.6318,0
jkl,2.4818,0
influencer,0.0238,0
search,0.0513,0
jkl,0.0738,0
social,3.1887,4
influencer,0.0004,0
social,0.1349,0
search,0.0024,0
,0.0006,0
social,1.3132,0
jkl,7.1073,6
search,0.4604,0
social,0.3271,1
social,0.0138,0
search,0.6917,0
influencer,0.013,0
influencer,5.2236,3
influencer,0.5483,0
influencer,0.0003,0
jkl,0.3765,0
search,0.0101,0
influencer,155.9026,22
social,31.9834,5
social,2.5281,4
jkl,0.0552,0
search,0.0137,0
social,0.4988,0
influencer,33.6581,7
search,0.5298,0
jkl,0.0089,0
influencer,0.0004,0
social,0.0384,0
social,0.2532,0
jkl,0.0662,0
jkl,0.0102,0
jkl,0.0903,0
social,0.123,0
influencer,4.0708,1
social,121.656,23
social,0.0012,0
influencer,0.0707,0
search,6.6785,18
social,0.0074,0
jkl,0.0173,0
influencer,11.7855,9
social,0.6518,1
influencer,35.6804,7
search,42.3415,5
search,0.0019,0
jkl,0.1077,0
influencer,1.5976,1
social,5.7544,0
influencer,5.2037,1
social,19.948,2
social,3.4109,5
jkl,0.0036,0
social,97.3928,28
search,0.4528,0
jkl,4.3192,1
social,4.488,3
jkl,0.0485,0
social,2.8885,0
social,0.0076,0
jkl,0.1162,0
influencer,0.0569,0
influencer,0.0517,0
influencer,18.2831,13
social,0.1782,0
influencer,0.0666,0
jkl,1.0548,0
jkl,0.4682,0
jkl,0.0124,0
influencer,0.1275,0
social,0.2154,0
jkl,0.4497,0
social,1.7178,3
social,2.1282,0
influencer,0.0697,0
search,1.2887,1
jkl,1.1607,0
jkl,1.3567,0
search,0.8485,0
search,15.9764,4
jkl,0.0366,0
jkl,6.3967,2
influencer,6.9396,1
jkl,0.0402,0
jkl,0.0106,0
social,2.7595,3
influencer,33.7212,20
social,3.872,1
search,0.2964,0
search,0.0539,0
social,3.4759,0
jkl,0.0804,0
influencer,1.9373,2
jkl,1.2957,0
search,0.0329,0
social,3.2466,0
jkl,0.3972,0
influencer,0.8736,0
influencer,156.2737,25
social,14.7639,4
jkl,0.0006,0
social,0.5751,0
search,0.2738,0
influencer,0.8465,0
jkl,0.0155,0
search,0.007,0
social,0.3493,0
search,0.4422,0
search,0.0205,0
jkl,0.2898,0
influencer,0.0056,0
social,7.7819,1
social,3.3205,5
jkl,0.0376,0
influencer,0.0314,0
social,0.4214,0
jkl,0.013,0
influencer,0.0694,0
search,0.0018,0
search,0.2588,0
social,0.2798,0
influencer,13919.1,19
social,0.6795,1
influencer,0.2512,0
jkl,0.0043,0
influencer,0.5316,1
influencer,1.2048,0
jkl,0.0147,0
jkl,0.2267,0
influencer,0.028,0
search,0.0693,0
jkl,0.037,0
search,2.2639,0
social,2.1829,0
social,0.0708,0
social,2.7122,0
search,9.2737,2
social,0.0924,0
search,7.9513,1
influencer,0.4109,0
jkl,3.8773,1
search,0.1686,0
jkl,0.0008,0
search,0.0887,0
jkl,0.5308,0
influencer,0.0542,0
social,32.2127,62
social,0.017,0
jkl,0.8504,0
search,34.0362,4
social,0.2818,0
jkl,0.025,0
search,22542.0,48
social,0.1927,0
influencer,187.7456,49
influencer,6.8132,4
influencer,376.8738,243
influencer,0.065,0
jkl,0.0103,0
influencer,12.0695,10
social,0.7012,0
social,5.5912,8
influencer,302.4739,63
search,21.8438,3
social,3.2469,3
search,0.0835,0
influencer,0.0114,0
influencer,3.8663,2
jkl,0.0359,0
jkl,31.9066,16
jkl,0.0066,0
search,0.7203,0
search,1.0442,0
social,3.7021,4
influencer,340.9117,248
jkl,20.283,5
jkl,0.1604,0
search,5.003,1
search,0.1173,0
social,0.0398,0
influencer,0.1126,0
influencer,0.0094,0
influencer,0.0003,0
influencer,2.7086,0
influencer,166.2193,300
search,0.3199,0
social,42.24,11
social,0.1529,0
jkl,0.0013,0
social,1.6467,0
social,0.0273,0
social,2.7181,4
social,1.9026,1
jkl,0.0769,0
jkl,0.0006,0
social,3.2666,3
social,1.161,1
social,125.2563,21
jkl,6.5266,2
jkl,0.0025,0
social,2.5234,4
jkl,0.017,0
jkl,0.0088,0
social,24.8835,24
,0.008,0
jkl,0.1604,0
jkl,0.0035,0
search,21.8763,6
influencer,0.0036,0
social,4.8022,2
social,35.5588,65
,0.004,0
social,3.5894,6
search,14.4934,2
social,0.1526,0
search,0.2352,0
social,4.8828,1
jkl,0.6214,0
influencer,0.3071,0
influencer,14.4412,3
jkl,0.2872,0
social,2.6023,5
influencer,0.0201,0
social,12.3744,4
social,0.0001,0
jkl,0.0096,0
search,1.0547,0
search,10.6508,16
influencer,0.0043,0
influencer,29.8908,17
search,0.1647,0
social,0.3507,0
influencer,1.6352,0
influencer,6.8059,1
search,0.3911,0
social,0.0042,0
jkl,0.0339,0
influencer,0.9769,1
social,1.5317,0
search,0.2868,0
social,25.1322,41
search,1.0094,0
social,0.0,0
search,0.0442,0
social,0.5515,0
influencer,0.0031,0
jkl,0.0031,0
jkl,8.1203,11
search,18.2512,15
jkl,0.6039,0
social,3.4021,4
jkl,0.0088,0
influencer,0.5925,0
influencer,238.033,61
search,0.0591,0
social,84.2726,18
social,142.1156,14
search,0.8941,1
influencer,0.016,0
search,0.0774,0
influencer,0.2873,0
jkl,2.4184,0
social,0.0478,0
jkl,0.0511,0
influencer,0.0723,0
jkl,0.1185,0
social,7.3901,1
search,8.24,3
social,1.5183,3
search,0.9547,0
jkl,7.2697,7
influencer,0.0067,0
social,0.0192,0
social,0.0057,0
search,1.2133,0
influencer,0.4775,0
search,0.591,0
search,0.005,0
search,7.1803,4
search,0.0335,0
social,1.7612,2
social,1.4369,2
jkl,0.0076,0
social,47.8089,11
jkl,9.2767,2
social,0.0114,0
social,0.0638,0
influencer,5.0765,2
social,1.5448,0
search,0.1427,0
influencer,0.0199,0
influencer,0.0372,0
social,0.2638,0
social,0.2857,0
search,10.104,1
search,8.4694,1
social,338.358,39
social,0.9235,1
influencer,2.6398,2
jkl,0.6201,0
jkl,6.0226,5
jkl,0.0212,0
social,5.9255,1
social,0.2396,0
social,263.0381,37
social,11.8649,13
social,0.5242,0
jkl,0.0203,0
search,0.2954,0
social,135.7462,20
social,0.9435,1
jkl,0.6021,0
search,1.7844,2
social,0.1967,0
social,17.9954,28
social,6.4677,2
social,1.0674,0
influencer,6.8843,2
social,5.8276,1
search,2.4497,0
social,7.3234,6
jkl,0.2068,0
influencer,6.2867,2
social,0.0012,0
influencer,0.0155,0
search,0.4428,0
social,0.0,0
social,43.7451,12
social,0.0047,0
social,0.0021,0
social,8.9646,10
influencer,8.2577,3
social,0.0358,0
jkl,0.2855,0
,0.0008,0
jkl,1.86,0
search,0.339,0
influencer,0.0997,0
influencer,0.1354,0
social,0.2501,0
influencer,0.2711,0
jkl,0.9236,0
social,5.1117,1
influencer,0.1192,0
search,190469.0,359
social,0.8143,1
jkl,0.0066,0
social,5.6958,8
influencer,352.1595,234
social,2.5747,1
jkl,0.0308,0
jkl,0.1118,0
jkl,17.6216,24
social,3.8735,5
jkl,0.2486,0
jkl,0.0064,0
influencer,0.3615,0
influencer,0.2412,0
social,14.3496,29
jkl,0.033,0
influencer,2.4218,0
influencer,14.5052,7
search,0.0139,0
social,0.0107,0
social,0.5895,0
social,0.1041,0
social,0.0041,0
social,4.1417,1
influencer,0.031,0
social,2198.05,10
social,0.5444,0
influencer,0.0019,0
social,0.3515,0
search,0.8028,0
search,0.3911,0
social,0.6839,0
jkl,1.1098,0
influencer,10.5994,5
influencer,2.4034,2
social,251.9423,36
influencer,0.0036,0
jkl,0.0007,0
jkl,0.0347,0
search,0.8973,0
jkl,0.0059,0
jkl,10.0232,18
search,1.1656,0
search,0.1088,0
search,0.0047,0
influencer,45.7472,20
social,47.2418,5
search,0.0031,0
search,1.659,1
influencer,0.131,0
search,0.3619,1
influencer,0.0012,0
,0.0016,0
influencer,0.2276,0
influencer,0.0258,0
,0.0016,0
social,76716.4,72
jkl,0.0414,0
search,0.9853,1
jkl,0.6885,0
social,0.8059,0
influencer,0.0171,0
search,3.2141,3
,0.004,0
influencer,0.2511,0
social,28.7402,5
jkl,0.0706,0
social,1.1449,1
,0.004,0
influencer,0.0667,0
social,89.5553,12
influencer,0.0684,0
influencer,0.3531,0
influencer,1.2246,0
jkl,0.0245,0
jkl,24.0242,9
social,0.006,0
search,0.7951,0
search,1.4708,1
,0.004,0
search,1.0102,1
social,337.5558,36
influencer,1.3531,0
social,5.4672,2
influencer,0.0473,0
jkl,0.267,0
search,0.5032,1
search,0.4578,0
social,4.519,5
social,0.0018,0
search,0.5941,0
social,186.2797,34
influencer,0.9477,0
search,0.0349,0
social,0.0652,0
social,70.0686,7
search,9.8886,1
social,209.5279,32
social,0.2547,0
social,83.9488,11
search,0.0106,0
influencer,0.0024,0
jkl,0.0197,0
search,0.4303,0
social,0.107,0
search,0.1214,0
social,9.7459,0
social,0.5274,0
search,0.4712,0
influencer,0.4521,0
social,8.5414,2
social,32.7957,47
jkl,0.0799,0
search,9.7559,1
search,0.1105,0
search,0.0728,0
jkl,0.0066,0
search,0.0186,0
influencer,0.0635,0
influencer,0.008,0
social,0.001,0
search,0.2996,0
influencer,8.3004,1
influencer,22.4736,1
search,1.1114,2
influencer,0.9226,1
influencer,0.0219,0
,0.004,0
influencer,1.6344,0
jkl,0.0767,0
social,0.0449,0
search,0.1144,0
jkl,0.0602,0
jkl,0.1011,0
jkl,1.5179,0
influencer,0.0251,0
social,94399.9,592
social,2.2496,0
influencer,11.8776,2
search,0.1412,0
jkl,0.7256,0
search,8.8886,1
search,6.1374,5
search,0.0302,0
search,0.1567,0
social,6.7035,2
influencer,0.1197,0
social,0.0001,0
influencer,42.1673,26
social,0.1794,0
social,4.5335,1
social,0.2492,0
influencer,0.1007,0
influencer,1.4816,0
search,0.0111,0
influencer,0.1638,0
jkl,0.019,0
influencer,40.7769,23
media,193124.0,482
social,0.6308,0
social,0.9043,0
influencer,0.0004,0
search,10.1498,0
social,0.3473,0
jkl,2.2328,1
search,0.0925,0
search,0.0354,0
influencer,0.056,0
jkl,0.002,0
jkl,0.3992,0
social,0.3338,0
search,0.2604,0
influencer,0.3279,0
search,0.6845,0
social,1.1376,2
jkl,0.0093,0
social,0.3196,0
search,0.0244,0
jkl,1.7893,1
search,3.4914,0
social,0.3339,0
search,0.0158,0
search,0.0144,0
search,12.1995,14
social,6.4682,2
influencer,2.0539,0
jkl,0.3729,0
search,0.4655,0
influencer,1.8462,0
social,12.6075,2
search,0.1364,0
influencer,0.0521,0
influencer,0.1149,0
influencer,0.11,0
influencer,25.9817,21
jkl,0.0054,0
search,0.39,0
jkl,0.0221,0
social,0.4676,0
jkl,0.0123,0
influencer,0.088,0
social,0.0001,0
social,2.2933,3
jkl,0.0338,0
search,4.4408,0
search,31.8656,4
search,0.0597,0
jkl,0.0573,0
influencer,1.5512,1
social,0.2342,0
search,0.9979,0
social,2.222,3
jkl,0.0689,0
jkl,28.8412,14
influencer,0.0021,0
social,4.194,7
,0.0048,0
influencer,0.0023,0
social,114.5384,12
jkl,0.0558,0
jkl,0.0072,0
jkl,0.0242,0
jkl,0.0085,0
influencer,0.0011,0
social,268.8108,30
social,0.0014,0
jkl,0.0471,0
social,148.0878,23
search,13.8794,4
influencer,0.118,0
social,14.0987,3
influencer,13.4196,6
social,47.2973,62
social,7.8249,1
search,0.5811,0
influencer,0.0039,0
social,0.1226,0
search,5.2407,5
influencer,0.8286,0
search,1.2376,0
social,308.8014,39
search,26.6446,5
social,0.0009,0
search,0.6083,0
,0.0032,0
influencer,0.0004,0
social,0.0651,0
social,1.066,0
social,0.0003,0
search,0.1112,0
social,0.4605,1
search,0.313,0
influencer,0.346,0
influencer,13.2308,1
social,0.0009,0
influencer,0.5564,0
jkl,2.2465,0
influencer,0.0249,0
social,2.8458,0
social,1.9142,0
influencer,0.0738,0
influencer,0.1047,0
influencer,0.0079,0
influencer,0.7412,0
social,1.3976,0
search,1.1463,0
jkl,0.0072,0
social,220.8876,35
search,21.5939,3
influencer,0.0012,0
influencer,0.7447,0
search,0.4514,0
search,1.9523,0
social,171.0275,31
social,393.9345,28
search,0.8611,0
social,0.0,0
jkl,0.003,0
social,0.0003,0
search,1.4113,2
jkl,5.4008,1
search,1.0499,0
jkl,0.0279,0
social,0.0751,0
social,1.9794,2
social,7.789,1
influencer,0.0441,0
social,18.242,30
jkl,0.1059,0
jkl,0.2499,0
influencer,14.5286,8
jkl,0.0737,0
search,0.5726,0
social,52.4908,6
jkl,7.5703,11
social,0.398,0
jkl,0.0456,0
influencer,0.1062,0
jkl,0.0025,0
social,0.2954,0
jkl,0.0519,0
search,0.8042,0
social,0.3254,0
jkl,0.0002,0
influencer,0.0003,0
social,1.0392,2
search,9.7558,9
influencer,8.5988,0
influencer,0.6479,0
influencer,0.9654,0
search,0.0249,0
search,0.2231,0
social,0.0112,0
search,1.3266,0
jkl,0.0021,0
social,310.0955,35
jkl,9.9458,2
social,0.0671,0
jkl,0.0483,0
social,1.2893,0
social,4.078,4
jkl,0.004,0
search,0.067,0
search,0.9724,1
influencer,0.1953,0
jkl,0.0041,0
influencer,0.1734,0
search,0.0158,0
social,0.0,0
jkl,2.0876,1
jkl,0.3756,0
jkl,0.4274,0
influencer,0.0063,0
search,37.5667,5
search,35.4052,4
search,0.0409,0
jkl,0.0011,0
jkl,0.0106,0
jkl,0.0148,0
search,0.4159,0
jkl,0.2848,0
search,6768.87,13
social,0.015,0
jkl,0.0044,0
jkl,0.0008,0
social,192.8206,44
social,0.002,0
influencer,1.174,0
social,0.0021,0
jkl,0.0062,0
jkl,0.0015,0
jkl,0.0033,0
jkl,0.8202,0
social,0.4535,0
jkl,0.0803,0
jkl,0.0227,0
social,0.0032,0
social,0.3003,0
jkl,0.001,0
social,12.8458,4
influencer,0.0164,0
social,0.4044,0
social,2.5776,1
influencer,10.1247,4
search,0.0066,0
influencer,0.0235,0
social,2.3187,1
,0.0048,0
search,1.3183,1
social,6.6703,0
search,0.1429,0
social,0.8105,1
search,0.1169,0
search,1.081,0
search,60.6279,7
social,0.793,0
search,0.0021,0
social,0.3444,0
jkl,0.5602,0
jkl,0.0045,0
social,97.0819,134
social,4.7488,5
search,0.2554,0
search,0.1011,0
jkl,0.007,0
jkl,0.2203,0
influencer,10.5432,5
influencer,0.0222,0
influencer,0.3336,0
jkl,0.0083,0
search,2.6064,0
social,0.806,1
jkl,0.0045,0
social,5.9364,5
jkl,0.0006,0
search,0.6865,0
social,6.0315,1
jkl,0.1758,0
influencer,4.6656,1
influencer,0.8656,0
social,5.9675,1
jkl,0.0045,0
jkl,0.2035,0
influencer,34.0604,20
search,0.1683,0
influencer,11.97,31
search,1.1337,0
search,0.1689,0
search,0.0019,0
influencer,351.9167,230
jkl,0.0171,0
social,0.0007,0
social,0.036,0
social,0.4049,0
social,5.1672,7
social,1.7138,1
social,0.0597,0
jkl,0.339,0
influencer,1.5408,0
influencer,0.4583,0
social,0.0061,0
search,1.8737,1
jkl,0.0112,0
social,0.9805,2
jkl,0.0013,0
search,0.5393,0
jkl,0.0544,0
jkl,18.4549,5
social,3.4705,3
social,3.6768,1
influencer,0.3025,0
jkl,1.0524,0
search,27.8699,26
social,0.0142,0
social,3.8404,0
search,2.3683,1
influencer,0.0004,0
search,2.6233,0
jkl,0.001,0
social,3.0032,5
,0.0136,0
jkl,0.0015,0
jkl,0.9043,0
jkl,0.1239,0
search,0.2805,1
influencer,1.1192,0
influencer,5.7295,2
influencer,3.4406,1
social,6.403,2
jkl,0.003,0
jkl,0.0604,0
social,19.5342,4
search,0.1118,0
influencer,0.109,0
search,0.0079,0
jkl,0.002,0
search,0.1294,0
influencer,0.0232,0
search,0.5325,0
search,0.3157,0
jkl,0.2221,0
influencer,0.002,0
influencer,0.1872,0
influencer,0.1625,0
search,1.1081,0
search,1.7173,0
influencer,9.8519,2
search,0.823,0
jkl,0.2218,0
search,0.0125,0
influencer,0.045,0
jkl,0.0837,0
jkl,0.1812,0
influencer,43.532,18
social,19196.6,124
social,11.7386,4
search,0.4449,0
influencer,0.5142,0
social,43865.9,132
social,0.1277,0
jkl,0.0301,0
influencer,0.0882,0
jkl,0.0814,0
search,10.1925,1
search,0.5985,1
search,0.7762,2
search,0.4433,0
influencer,0.5193,0
jkl,0.0008,0
search,0.4396,0
social,2.4788,4
influencer,0.7923,0
influencer,0.0275,0
jkl,0.1686,0
social,15.1202,4
social,4.9798,7
jkl,0.4907,0
social,0.0037,0
social,12.5544,10
jkl,0.104,0
search,1.7277,0
influencer,21.8905,2
jkl,0.004,0
influencer,11.9854,10
search,0.1119,0
influencer,0.0183,0
search,0.0154,0
jkl,0.015,0
search,0.2428,0
jkl,1.5488,1
influencer,0.0007,0
influencer,0.0694,0
social,2.5313,7
social,9.5694,9
social,0.1029,0
search,8.6136,0
influencer,1.0675,0
influencer,0.0012,0
influencer,0.1303,0
jkl,0.0149,0
social,81.3524,14
search,0.0104,0
jkl,0.003,0
social,0.0185,0
influencer,0.5576,0
influencer,0.0011,0
search,0.7235,0
influencer,1.9555,2
influencer,1.5285,1
influencer,0.7289,0
social,0.3642,0
social,0.0076,0
social,0.1293,0
jkl,0.037,0
social,8.1166,10
social,0.7431,0
influencer,0.1883,0
search,0.3842,0
influencer,0.2666,0
,0.0168,0
social,1.5554,0
social,0.0,0
social,7.3255,1
media,206424.0,416
influencer,0.0483,0
jkl,0.0265,0
social,1.369,1
social,3.8116,4
jkl,0.007,0
social,2.2504,1
search,11.9486,1
social,2.9087,0
jkl,0.5791,0
influencer,0.0444,0
search,4.806,1
search,0.0025,0
jkl,3.8079,0
media,2791.06,9
search,5.0856,4
jkl,0.0,0
search,0.468,0
social,0.0008,0
social,0.0453,0
social,0.0006,0
social,0.4277,0
jkl,0.0041,0
search,0.0005,0
influencer,0.272,0
jkl,0.1384,0
jkl,0.287,0
social,1.1839,1
jkl,0.1368,0
search,0.1317,0
jkl,0.0008,0
search,0.9885,0
influencer,0.3149,0
jkl,0.0063,0
jkl,12.9512,5
influencer,0.0324,0
social,0.1473,0
jkl,0.1066,0
jkl,0.0413,0
jkl,0.0026,0
jkl,0.0076,0
social,0.0,0
,0.0016,0
social,0.2545,0
jkl,0.0077,0
jkl,0.0017,0
social,2.7392,0
influencer,1.3163,0
social,359.8801,57
search,3.4843,5
search,0.2194,0
search,6.4931,1
social,8.8125,2
search,1.3153,0
search,0.6942,0
jkl,0.011,0
social,2.2079,0
jkl,0.3746,0
jkl,0.2652,0
social,2.011,2
influencer,0.0004,0
jkl,0.0449,0
social,86.5848,10
jkl,0.0055,0
social,27.4235,3
influencer,1.2058,0
influencer,0.6744,0
jkl,1.0193,0
influencer,0.9038,0
jkl,0.2324,0
search,0.3184,0
influencer,0.8974,0
influencer,1.2189,0
social,5.3469,2
influencer,0.3376,0
search,18.2143,12
influencer,0.1154,0
influencer,0.1372,0
social,0.0171,0
social,0.0258,0
social,0.3859,0
jkl,0.0008,0
social,0.0007,0
influencer,0.0249,0
social,62.9539,130
search,1.3289,0
influencer,0.1325,0
jkl,0.0015,0
jkl,0.0329,0
social,0.0004,0
influencer,0.0007,0
influencer,0.0023,0
search,0.0824,0
social,0.5953,0
influencer,0.4712,0
social,0.3257,0
influencer,0.0008,0
search,0.3321,0
search,0.231,0
social,0.0804,0
influencer,1.3582,1
jkl,0.6932,0
search,0.0699,0
influencer,92.1346,132
jkl,0.7338,0
jkl,0.0066,0
social,3.0676,4
influencer,5.4437,0
social,3.9609,5
influencer,0.0088,0
influencer,3.9366,1
jkl,0.0262,0
search,1.1618,0
social,27.3247,36
influencer,0.4001,0
social,7.564,1
,0.0013,0
social,12.4383,4
influencer,0.4985,0
search,1.0997,1
influencer,0.6409,0
influencer,0.0144,0
influencer,3.4741,3
influencer,73.5488,102
social,3.1786,3
search,0.008,0
jkl,0.0166,0
search,2.0863,1
social,20.3441,19
jkl,0.0271,0
search,0.1682,0
social,279.2661,41
influencer,0.0314,0
social,0.1705,0
search,38.3467,5
jkl,24.2888,11
social,8.8168,7
jkl,0.0056,0
jkl,2.7374,0
jkl,1.2651,0
influencer,0.2419,0
influencer,0.009,0
influencer,0.3487,0
search,0.2666,0
jkl,0.0042,0
social,0.0021,0
social,0.6618,0
search,0.0493,0
influencer,0.0776,0
social,0.5558,0
jkl,0.0237,0
social,0.0005,0
jkl,0.0175,0
search,8.9699,9
jkl,0.0045,0
search,0.0263,0
influencer,61.0327,32
jkl,4.3204,1
social,36.4892,52
jkl,0.0045,0
jkl,0.033,0
social,0.0,0
search,0.5239,0
jkl,0.1393,0
social,415376.0,726
jkl,0.0277,0
influencer,0.0928,0
influencer,5.6747,3
search,0.07,0
social,0.0008,0
,0.0176,0
influencer,0.0534,0
influencer,0.1555,0
jkl,0.0104,0
jkl,0.02,0
jkl,0.1415,0
influencer,1.0361,0
influencer,0.0069,0
social,0.0345,0
jkl,0.0002,0
jkl,0.0172,0
jkl,0.0581,0
influencer,0.7218,0
search,0.5838,0
search,0.2236,0
search,0.0637,0
influencer,158.6359,41
jkl,0.0265,0
jkl,24.8181,12
search,0.0004,0
jkl,0.0168,0
social,16.9098,4
social,6.0495,2
jkl,0.6752,0
social,0.0058,0
jkl,3.2486,0
influencer,0.0028,0
social,191722.0,325
jkl,0.0013,0
social,7.4406,7
jkl,0.1212,0
influencer,0.0378,0
search,0.0429,0
social,2.9098,0
jkl,0.1069,0
jkl,0.6071,0
social,0.4978,0
social,0.0064,0
search,0.3184,0
influencer,0.18,0
social,3.3833,0
influencer,0.3329,0
jkl,0.0017,0
jkl,0.3649,0
search,0.0146,0
influencer,0.0022,0
jkl,0.0108,0
jkl,0.1706,0
influencer,0.0215,0
social,0.032,0
social,1.816,1
search,1.1348,1
influencer,0.1604,0
influencer,0.1161,0
influencer,0.281,0
,0.009,0
jkl,0.0297,0
influencer,0.0164,0
influencer,65006.3,89
social,0.6307,1
social,2.0757,2
jkl,0.8867,0
jkl,6.2905,1
social,0.4244,0
influencer,0.981,0
influencer,1.1562,0
social,0.2459,0
social,0.2394,0
search,0.0022,0
jkl,0.0006,0
jkl,0.0808,0
jkl,0.4023,0
jkl,1.9909,0
search,0.7334,1
jkl,1.6288,1
search,33.4357,3
social,553.0831,47
jkl,0.1285,0
,0.0056,0
jkl,0.0777,0
social,0.1211,0
social,18.1697,38
influencer,0.0189,0
jkl,0.0044,0
jkl,0.1953,0
influencer,4.0907,2
search,2.224,0
influencer,0.0712,0
,0.0064,0
search,0.0087,0
influencer,0.0273,0
social,10.5909,1
influencer,0.187,0
jkl,1.1474,0
search,0.0004,0
search,21.0956,3
search,0.3464,0
influencer,6.3232,2
jkl,0.6701,0
influencer,0.6647,0
jkl,0.0384,0
jkl,0.0007,0
jkl,0.0002,0
search,8.1727,1
influencer,165.4619,25
influencer,0.0261,0
jkl,0.0203,0
jkl,0.2699,0
search,0.1855,0
,0.0008,0
jkl,0.0011,0
social,0.0612,0
jkl,1.7872,0
jkl,18.3812,20
social,5.8622,1
social,3.2578,0
influencer,0.7933,0
influencer,0.5482,0
jkl,0.8146,0
influencer,0.0055,0
influencer,0.012,0
search,18.8696,2
search,17476.2,48
,0.0008,0
search,0.012,0
search,0.0047,0
jkl,0.028,0
search,0.319,0
influencer,0.0035,0
social,27.6625,2
social,0.5153,0
social,22.8296,3
influencer,22.7717,15
social,337.5212,31
influencer,0.0923,0
search,0.8073,0
search,18.2516,2
social,0.0006,0
jkl,0.0222,0
search,1.1246,1
influencer,0.0004,0
search,2.4719,0
jkl,0.7562,0
search,0.1755,0
jkl,0.0218,0
jkl,9.6037,2
social,15.2659,31
jkl,0.6954,0
search,0.0189,0
search,0.4051,0
search,0.1331,0
search,0.0081,0
search,2.824,0
search,25.3745,3
social,1.8347,1
influencer,0.0043,0
jkl,0.1148,0
search,0.3068,0
influencer,0.0564,0
influencer,2.3388,1
influencer,0.0003,0
social,2.6033,0
influencer,33892.6,79
search,0.0982,0
influencer,0.0109,0
jkl,0.0285,0
social,1.0933,0
influencer,145.5987,252
influencer,5.6953,2
social,38.3566,48
jkl,0.5777,0
influencer,25.002,2
influencer,0.0813,0
search,0.1475,0
jkl,0.279,0
influencer,0.086,0
influencer,0.9148,0
jkl,2.0058,0
influencer,1.3846,0
social,0.8298,0
search,0.0401,0
social,0.0138,0
influencer,29.2643,6
influencer,0.0003,0
influencer,442617.0,731
social,1.4212,2
jkl,0.0325,0
,0.0024,0
search,0.7942,0
search,0.2882,0
social,0.0305,0
search,0.0745,0
jkl,0.1558,0
influencer,1.3552,0
social,0.1479,0
influencer,3.1129,1
influencer,0.1002,0
influencer,0.5943,0
jkl,0.0008,0
social,1.4948,2
influencer,7.4887,2
search,0.3218,0
jkl,0.0411,0
social,6.3206,0
influencer,0.12,0
jkl,1.2479,0
influencer,0.3599,0
influencer,1.4437,1
social,1.5404,1
social,1.9388,0
jkl,12.6243,18
social,0.3824,0
search,0.0943,0
,0.0032,0
social,1.2612,0
influencer,25.7047,10
social,0.0009,0
search,0.0453,0
social,0.0275,0
influencer,0.2669,0
search,0.0014,0
jkl,0.3114,0
influencer,0.6621,0
social,1.1667,2
search,38.5847,4
social,4.2726,0
search,0.1284,0
search,0.8304,0
influencer,8.097,2
jkl,0.0015,0
jkl,0.069,0
search,0.0504,0
search,0.1885,0
search,0.0048,0
search,0.039,0
social,7.2121,2
influencer,0.1283,0
search,0.454,0
social,31712.0,48
