category,cost,orders
media,16706.4,6
search,0.9456,1
social,2.5126,8
search,0.1419,0
influencer,0.0939,0
influencer,1.8962,7
jkl,0.0057,0
search,0.0021,0
social,79.3017,63
search,0.1415,0
social,5.9142,2
influencer,2.699,3
search,0.0034,0
search,2.8899,3
influencer,0.016,0
influencer,0.2302,0
influencer,0.414,0
search,0.3228,1
social,3.4453,3
search,4.6129,25
social,0.234,0
jkl,0.0032,0
social,241.6224,637
jkl,0.0905,0
influencer,6.5363,34
social,0.2658,0
search,0.0103,0
social,4.9349,6
influencer,1.4949,0
social,7.3535,10
jkl,0.1162,0
social,62272.6,9
search,0.285,0
jkl,0.0075,0
jkl,0.0091,0
search,0.6815,7
search,0.0023,0
influencer,10.949,6
jkl,0.0005,0
influencer,0.0098,0
influencer,0.0193,0
influencer,1.0892,0
search,0.2807,0
social,93.3331,531
social,20.9511,69
search,3.5418,24
search,0.0029,0
,0.0008,0
influencer,0.4395,0
search,23.1867,16
jkl,0.0053,0
search,1.1231,0
influencer,21.312,72
social,6.5679,4
jkl,0.0006,0
jkl,0.0221,0
jkl,0.019,0
social,0.0001,0
jkl,0.3266,5
jkl,0.0518,0
jkl,1.6206,6
social,0.3585,0
social,8.1399,14
search,0.953,0
jkl,1.0324,0
search,0.4471,14
social,0.0171,1
social,0.002,0
social,2.3837,0
influencer,0.0096,0
social,3.2418,3
social,1555.96,1
search,0.0292,0
social,235.7281,659
social,7.7584,8
search,0.9895,1
jkl,0.0093,0
jkl,0.0102,0
jkl,0.1133,1
influencer,0.0348,0
influencer,0.0089,0
jkl,0.4278,0
search,1.1164,0
jkl,0.0121,0
social,0.3209,0
search,0.1568,0
search,0.745,0
search,19.7963,26
social,5.8409,5
influencer,347.9205,3369
search,0.1821,0
search,0.493,5
influencer,0.0171,0
influencer,0.0212,0
jkl,0.121,0
influencer,0.1692,0
jkl,0.0006,0
jkl,0.1204,0
,0.0024,0
social,0.1225,0
jkl,0.703,0
jkl,0.1505,0
social,0.0148,0
jkl,0.2601,0
social,5.0077,12
influencer,0.1792,0
influencer,222.5647,1667
social,0.0068,0
search,0.0054,0
influencer,7.2444,15
search,11.7018,46
search,0.0056,0
search,0.4453,0
jkl,1.1645,13
influencer,1.6779,5
influencer,6.294,31
social,0.0353,0
search,0.634,0
social,202.6187,574
search,0.1079,0
search,0.3486,0
influencer,4.8819,0
influencer,5.5162,7
social,172.7892,868
search,0.013,0
search,0.1295,0
search,21.6513,38
influencer,0.265,0
search,1.1067,2
search,0.0067,0
social,2.8157,15
jkl,0.3027,0
jkl,0.1412,0
influencer,35.6111,216
jkl,0.0119,0
social,3.6141,5
social,0.0007,0
influencer,0.0011,0
,0.0016,0
social,0.0012,0
social,0.0066,0
influencer,23.2523,25
social,0.0144,0
search,2.2116,1
search,1.5838,0
influencer,0.1941,0
influencer,1.841,0
influencer,0.0501,0
jkl,0.0078,0
search,0.08,0
influencer,9.6657,8
social,0.6133,0
social,95.1035,300
influencer,269.9894,1082
social,4.0233,1
search,18.0148,103
influencer,0.0611,0
social,14.8813,15
search,0.5625,0
jkl,0.0032,0
influencer,15.1314,34
search,0.2028,1
social,12.9434,13
social,6.1095,7
social,0.0027,0
social,0.0153,0
,0.0016,0
influencer,0.3154,0
search,0.1558,0
social,1.5144,7
jkl,0.0067,0
search,1.3391,0
social,0.6228,0
social,115389.0,17
social,0.0026,0
search,1.412,3
influencer,0.5961,0
influencer,4.2452,0
social,20.9735,53
search,0.8805,1
jkl,0.0006,0
search,0.0976,0
influencer,41.5739,30
social,0.6575,1
search,0.0057,0
social,95.8786,489
social,0.016,0
social,3.249,3
jkl,0.3408,0
social,254.14,0
search,1.7621,3
jkl,0.002,0
jkl,0.1473,0
search,0.0507,0
search,0.0436,0
jkl,0.0863,0
influencer,0.2592,0
social,0.0143,0
influencer,0.1444,0
influencer,125.5927,1783
social,6.3631,22
search,0.1254,0
jkl,0.052,0
social,5.7576,18
social,0.2843,0
social,0.0009,0
influencer,0.0602,0
social,0.7299,0
jkl,0.0015,0
search,0.0087,0
social,0.0123,0
jkl,0.0084,0
social,0.0009,0
influencer,0.0039,0
jkl,0.3226,0
search,0.4827,0
influencer,0.3899,0
influencer,0.0019,0
social,7.3203,2
jkl,0.03,0
influencer,195.5395,734
influencer,16.8185,63
search,0.0521,0
social,0.0099,0
jkl,0.0182,4
influencer,5.9342,2
search,0.1377,0
social,9.3858,7
search,1078.73,0
jkl,2.3474,12
social,6.3236,4
search,0.8496,0
jkl,1.311,0
social,2.7824,1
influencer,12.3568,51
jkl,0.0014,0
search,0.2368,0
jkl,0.1985,0
influencer,15.0651,69
jkl,0.0997,0
influencer,0.2359,0
search,0.1713,0
influencer,0.2866,0
jkl,0.0015,0
social,8.3222,0
social,2.44,2
influencer,0.6886,0
influencer,2.9339,0
social,0.0001,0
influencer,5.9351,49
search,1.1622,0
social,2.401,9
jkl,0.0586,0
social,0.294,0
influencer,0.2912,0
influencer,0.0015,0
social,0.0039,0
jkl,6.5394,31
jkl,0.0376,0
social,0.1702,0
jkl,0.9393,1
search,0.0988,0
search,0.2465,0
influencer,2.2272,0
social,4.789,6
social,0.2134,2
search,0.4015,0
search,0.192,1
influencer,0.2247,0
influencer,7.3836,17
social,3.9372,1
search,3.1431,1
social,13.9739,20
search,1.8722,4
influencer,0.1096,3
social,38.7431,32
search,0.3558,0
jkl,0.0026,0
social,13.3236,18
social,308692.0,60
social,0.4454,0
jkl,0.0167,0
social,0.3881,4
influencer,3.0733,1
influencer,0.0071,0
social,0.0006,0
social,4.5533,0
social,7.4969,8
,0.0032,0
search,4.2116,3
jkl,0.0057,0
social,25.9813,26
social,3.0045,8
jkl,0.001,0
social,2.0548,0
social,0.0164,0
jkl,0.575,0
influencer,0.0076,0
jkl,0.004,0
jkl,0.0164,0
jkl,0.009,0
influencer,0.0219,0
jkl,0.4516,1
search,0.1645,0
social,3.0836,0
influencer,0.0537,0
influencer,0.167,0
influencer,215.537,1640
jkl,0.072,0
influencer,4.0616,17
jkl,0.2915,0
social,6.3952,5
search,1.0771,0
influencer,0.0093,0
search,0.2152,0
jkl,0.0019,0
social,0.0002,0
influencer,0.1039,0
influencer,1.934,3
search,18.5802,38
social,0.6429,0
search,0.5535,0
search,0.0465,0
social,4.0879,9
search,0.0107,0
jkl,0.0072,0
jkl,0.4421,0
search,54.6992,89
social,0.0017,0
influencer,0.016,0
social,313.7359,751
influencer,0.7494,2
,0.0008,0
search,0.0887,0
influencer,0.0506,0
social,3.1377,2
social,94564.2,15
search,0.1686,0
search,0.044,0
jkl,0.0008,0
jkl,0.0587,0
jkl,0.0035,0
social,10.2029,13
jkl,0.0054,0
jkl,0.0319,0
social,21.5047,17
influencer,4.6563,0
social,9.3481,13
influencer,0.0016,0
social,0.0224,0
search,0.0129,0
jkl,0.0047,0
social,0.0021,0
social,5.8981,5
influencer,0.8008,0
social,0.1584,0
search,1.4685,2
social,0.0027,0
social,5.033,3
influencer,299.9221,2387
jkl,0.0167,0
social,20.1963,43
jkl,0.382,0
jkl,0.0106,0
influencer,9.9578,1
influencer,0.0096,0
search,9.4076,61
social,2.0228,2
influencer,0.0102,0
influencer,0.002,0
jkl,0.1007,0
social,57.5478,401
social,0.2219,0
search,0.1184,0
influencer,5.4888,7
jkl,0.4296,0
influencer,0.3842,0
influencer,23.1563,162
jkl,0.0562,0
jkl,0.1142,0
influencer,5.356,51
social,0.0002,0
social,0.0008,0
social,0.0071,0
social,7.248,2
search,0.5106,1
influencer,6.2983,1
social,0.2972,0
jkl,0.0025,0
jkl,2.8086,9
search,9444.12,2
search,0.2875,0
influencer,0.489,0
social,6.481,3
search,22.8326,57
influencer,4.1819,1
social,0.0019,0
search,0.0149,0
social,0.4493,0
influencer,1.2109,10
jkl,0.0109,0
search,0.213,0
influencer,0.1835,0
influencer,0.0027,0
jkl,0.0095,0
search,0.2576,0
search,0.8606,1
jkl,0.008,0
jkl,0.0259,0
jkl,1.8812,0
influencer,0.076,0
search,0.602,1
social,17.5068,32
search,0.106,0
search,1.0537,0
jkl,0.0286,0
search,12.9997,47
influencer,0.0613,0
search,0.1399,0
influencer,0.1525,0
search,0.0878,0
influencer,0.6783,2
search,0.0941,0
jkl,0.7904,0
influencer,0.5499,0
social,85.426,72
jkl,0.0228,0
jkl,0.0986,0
search,0.7266,0
social,2.52,0
jkl,0.192,0
search,1.1254,1
influencer,0.0004,0
social,37.5937,284
social,3.04,6
search,0.1347,0
search,0.1489,1
search,0.1553,0
social,6.6038,20
search,1.6687,2
jkl,0.006,0
jkl,0.0261,0
search,0.3876,2
influencer,0.0152,0
search,0.3322,0
social,0.4294,1
search,0.0425,0
influencer,0.0441,0
search,0.0224,0
social,7.705,4
jkl,0.0013,0
social,1.3794,3
jkl,0.9745,3
influencer,0.1665,0
influencer,0.0021,0
influencer,0.0048,0
influencer,3.6121,0
social,0.0111,0
influencer,36.5408,290
search,74.7667,121
jkl,0.0074,0
jkl,0.0026,0
influencer,0.4876,0
influencer,14.4199,57
social,0.014,0
social,4.7049,13
jkl,0.014,0
jkl,0.024,0
influencer,0.2571,0
social,2.326,8
search,1.199,3
jkl,0.0299,0
jkl,0.0024,0
influencer,0.0475,0
search,39.9834,93
influencer,377.3068,2809
jkl,0.1025,0
search,0.0202,0
social,0.8604,0
jkl,2.2518,29
jkl,0.2495,0
influencer,0.1223,0
social,2.6637,1
social,170.7056,426
social,3.808,2
social,0.7887,0
jkl,0.0007,0
social,0.8716,0
search,0.0015,0
jkl,0.0038,0
search,0.1773,0
social,0.2441,0
jkl,0.0782,0
influencer,0.2678,0
social,0.0225,0
jkl,0.0109,0
social,7.1651,17
influencer,2.0397,0
influencer,0.0021,0
social,0.0194,0
social,20.4072,14
search,0.0017,0
jkl,0.0019,0
search,0.2564,0
social,12.5518,15
jkl,0.0552,0
influencer,0.0019,0
influencer,0.0679,0
jkl,0.009,0
social,19.4254,10
influencer,12.2763,56
social,1.4061,5
jkl,2.7666,0
influencer,0.0317,0
influencer,0.6375,0
influencer,0.203,0
social,0.0277,0
jkl,0.015,0
search,4.46,18
jkl,0.0406,0
social,12.3332,1
social,2.8831,2
influencer,0.2066,0
social,201.7758,536
social,5.1107,3
social,80.0387,382
influencer,1.9975,0
social,0.5847,14
jkl,1.255,0
,0.0016,0
search,0.2773,7
influencer,5.2816,2
social,30.2482,21
influencer,1.7225,1
jkl,0.0006,0
search,0.3129,0
social,0.3567,0
social,35.3542,40
influencer,1.6325,0
search,0.1964,2
search,1.0,0
influencer,38.5261,32
search,0.0252,0
social,298.372,550
social,124.5157,392
influencer,0.701,1
social,0.007,0
jkl,0.209,1
influencer,0.004,0
social,2.6525,3
social,0.1917,0
search,0.1546,0
influencer,18.9018,67
social,4.3815,25
social,0.4088,12
social,38890.3,14
jkl,0.0055,0
influencer,37.2505,261
influencer,6.6304,29
social,0.1392,0
social,1.6608,0
jkl,0.2216,0
influencer,0.695,0
,0.0112,0
jkl,0.075,0
social,0.4829,0
social,6.2312,2
search,435770.0,96
search,0.4426,0
search,1.0942,0
influencer,0.2751,0
jkl,0.0052,0
jkl,3.9767,5
search,2.4948,1
jkl,33.2776,161
social,336.111,754
search,0.2721,0
influencer,23.658,7
social,1.0389,0
social,1.1525,0
social,0.0006,0
search,30645.4,7
influencer,0.0168,0
influencer,0.1875,0
jkl,0.0101,0
social,56874.2,12
influencer,1.875,1
search,19.9491,97
jkl,0.0486,0
search,0.1892,0
social,306.834,741
search,0.002,0
,0.02,0
jkl,0.1466,0
social,0.0016,0
jkl,0.1649,0
search,0.1852,0
jkl,0.0471,0
social,7.9791,10
jkl,10.0831,24
social,0.0404,0
,0.0056,0
influencer,15.9797,6
social,0.0179,0
social,0.3767,0
social,0.0009,0
jkl,0.264,0
influencer,0.0184,0
search,2.3917,0
jkl,0.0033,0
influencer,1.6318,0
jkl,2.4818,12
influencer,0.0238,0
search,0.0513,0
jkl,0.0738,0
social,3.1887,5
influencer,0.0004,0
social,0.1349,0
search,0.0024,0
,0.0006,0
social,1.3132,0
jkl,7.1073,1
search,0.4604,3
social,0.3271,0
social,0.0138,0
search,0.6917,0
influencer,0.013,0
influencer,5.2236,1
influencer,0.5483,0
influencer,0.0003,0
jkl,0.3765,0
search,0.0101,0
influencer,155.9026,618
social,31.9834,243
social,2.5281,2
jkl,0.0552,0
search,0.0137,0
social,0.4988,0
influencer,33.6581,238
search,0.5298,0
jkl,0.0089,0
influencer,0.0004,0
social,0.0384,0
social,0.2532,0
jkl,0.0662,0
jkl,0.0102,0
jkl,0.0903,0
social,0.123,0
influencer,4.0708,27
social,121.656,601
social,0.0012,0
influencer,0.0707,0
search,6.6785,2
social,0.0074,0
jkl,0.0173,0
influencer,11.7855,46
social,0.6518,0
influencer,35.6804,259
search,42.3415,146
search,0.0019,0
jkl,0.1077,0
influencer,1.5976,7
social,5.7544,5
influencer,5.2037,9
social,19.948,39
social,3.4109,1
jkl,0.0036,0
social,97.3928,511
search,0.4528,0
jkl,4.3192,31
social,4.488,18
jkl,0.0485,0
social,2.8885,8
social,0.0076,0
jkl,0.1162,0
influencer,0.0569,0
influencer,0.0517,0
influencer,18.2831,7
social,0.1782,2
influencer,0.0666,0
jkl,1.0548,0
jkl,0.4682,10
jkl,0.0124,0
influencer,0.1275,0
social,0.2154,0
jkl,0.4497,0
social,1.7178,0
social,2.1282,0
influencer,0.0697,0
search,1.2887,1
jkl,1.1607,0
jkl,1.3567,8
search,0.8485,0
search,15.9764,128
jkl,0.0366,0
jkl,6.3967,39
influencer,6.9396,30
jkl,0.0402,0
jkl,0.0106,0
social,2.7595,1
influencer,33.7212,262
social,3.872,4
search,0.2964,0
search,0.0539,0
social,3.4759,3
jkl,0.0804,0
influencer,1.9373,5
jkl,1.2957,0
search,0.0329,0
social,3.2466,0
jkl,0.3972,0
influencer,0.8736,0
influencer,156.2737,956
social,14.7639,39
jkl,0.0006,0
social,0.5751,1
search,0.2738,0
influencer,0.8465,0
jkl,0.0155,0
search,0.007,0
social,0.3493,0
search,0.4422,0
search,0.0205,0
jkl,0.2898,1
influencer,0.0056,0
social,7.7819,2
social,3.3205,1
jkl,0.0376,0
influencer,0.0314,0
social,0.4214,0
jkl,0.013,0
influencer,0.0694,0
search,0.0018,0
search,0.2588,2
social,0.2798,0
influencer,13919.1,3
social,0.6795,0
influencer,0.2512,0
jkl,0.0043,0
influencer,0.5316,5
influencer,1.2048,1
jkl,0.0147,0
jkl,0.2267,0
influencer,0.028,0
search,0.0693,0
jkl,0.037,0
search,2.2639,5
social,2.1829,3
social,0.0708,0
social,2.7122,5
search,9.2737,56
social,0.0924,1
search,7.9513,30
influencer,0.4109,0
jkl,3.8773,43
search,0.1686,0
jkl,0.0008,0
search,0.0887,0
jkl,0.5308,0
influencer,0.0542,0
social,32.2127,35
social,0.017,0
jkl,0.8504,3
search,34.0362,85
social,0.2818,0
jkl,0.025,0
search,22542.0,6
social,0.1927,0
influencer,187.7456,1025
influencer,6.8132,4
influencer,376.8738,2985
influencer,0.065,0
jkl,0.0103,0
influencer,12.0695,25
social,0.7012,0
social,5.5912,1
influencer,302.4739,1214
search,21.8438,80
social,3.2469,0
search,0.0835,0
influencer,0.0114,0
influencer,3.8663,1
jkl,0.0359,0
jkl,31.9066,279
jkl,0.0066,0
search,0.7203,2
search,1.0442,2
social,3.7021,1
influencer,340.9117,2447
jkl,20.283,195
jkl,0.1604,5
search,5.003,6
search,0.1173,0
social,0.0398,0
influencer,0.1126,0
influencer,0.0094,0
influencer,0.0003,0
influencer,2.7086,2
influencer,166.2193,150
search,0.3199,0
social,42.24,320
social,0.1529,0
jkl,0.0013,0
social,1.6467,3
social,0.0273,0
social,2.7181,0
social,1.9026,2
jkl,0.0769,0
jkl,0.0006,0
social,3.2666,0
social,1.161,0
social,125.2563,349
jkl,6.5266,67
jkl,0.0025,0
social,2.5234,0
jkl,0.017,0
jkl,0.0088,0
social,24.8835,20
,0.008,0
jkl,0.1604,1
jkl,0.0035,0
search,21.8763,107
influencer,0.0036,0
social,4.8022,17
social,35.5588,35
,0.004,0
social,3.5894,3
search,14.4934,34
social,0.1526,0
search,0.2352,0
social,4.8828,12
jkl,0.6214,0
influencer,0.3071,0
influencer,14.4412,57
jkl,0.2872,0
social,2.6023,0
influencer,0.0201,0
social,12.3744,44
social,0.0001,0
jkl,0.0096,0
search,1.0547,5
search,10.6508,13
influencer,0.0043,0
influencer,29.8908,26
search,0.1647,1
social,0.3507,0
influencer,1.6352,3
influencer,6.8059,26
search,0.3911,2
social,0.0042,0
jkl,0.0339,0
influencer,0.9769,8
social,1.5317,6
search,0.2868,0
social,25.1322,18
search,1.0094,0
social,0.0,0
search,0.0442,0
social,0.5515,0
influencer,0.0031,0
jkl,0.0031,0
jkl,8.1203,13
search,18.2512,6
jkl,0.6039,0
social,3.4021,1
jkl,0.0088,0
influencer,0.5925,1
influencer,238.033,1072
search,0.0591,0
social,84.2726,537
social,142.1156,317
search,0.8941,0
influencer,0.016,0
search,0.0774,0
influencer,0.2873,0
jkl,2.4184,8
social,0.0478,0
jkl,0.0511,0
influencer,0.0723,0
jkl,0.1185,0
social,7.3901,12
search,8.24,65
social,1.5183,0
search,0.9547,3
jkl,7.2697,5
influencer,0.0067,0
social,0.0192,0
social,0.0057,0
search,1.2133,4
influencer,0.4775,0
search,0.591,0
search,0.005,0
search,7.1803,1
search,0.0335,0
social,1.7612,0
social,1.4369,0
jkl,0.0076,0
social,47.8089,368
jkl,9.2767,88
social,0.0114,0
social,0.0638,0
influencer,5.0765,4
social,1.5448,9
search,0.1427,0
influencer,0.0199,0
influencer,0.0372,0
social,0.2638,0
social,0.2857,0
search,10.104,17
search,8.4694,67
social,338.358,705
social,0.9235,0
influencer,2.6398,2
jkl,0.6201,0
jkl,6.0226,10
jkl,0.0212,0
social,5.9255,6
social,0.2396,0
social,263.0381,741
social,11.8649,9
social,0.5242,0
jkl,0.0203,0
search,0.2954,0
social,135.7462,543
social,0.9435,1
jkl,0.6021,0
search,1.7844,0
social,0.1967,0
social,17.9954,18
social,6.4677,11
social,1.0674,2
influencer,6.8843,11
social,5.8276,4
search,2.4497,1
social,7.3234,5
jkl,0.2068,0
influencer,6.2867,2
social,0.0012,0
influencer,0.0155,0
search,0.4428,0
social,0.0,0
social,43.7451,398
social,0.0047,0
social,0.0021,0
social,8.9646,2
influencer,8.2577,31
social,0.0358,0
jkl,0.2855,1
,0.0008,0
jkl,1.86,3
search,0.339,0
influencer,0.0997,0
influencer,0.1354,0
social,0.2501,0
influencer,0.2711,0
jkl,0.9236,0
social,5.1117,12
influencer,0.1192,0
search,190469.0,47
social,0.8143,0
jkl,0.0066,0
social,5.6958,1
influencer,352.1595,3191
social,2.5747,4
jkl,0.0308,0
jkl,0.1118,1
jkl,17.6216,12
social,3.8735,1
jkl,0.2486,0
jkl,0.0064,0
influencer,0.3615,0
influencer,0.2412,0
social,14.3496,23
jkl,0.033,0
influencer,2.4218,3
influencer,14.5052,0
search,0.0139,0
social,0.0107,0
social,0.5895,0
social,0.1041,2
social,0.0041,0
social,4.1417,3
influencer,0.031,0
social,2198.05,0
social,0.5444,0
influencer,0.0019,0
social,0.3515,0
search,0.8028,0
search,0.3911,0
social,0.6839,0
jkl,1.1098,1
influencer,10.5994,1
influencer,2.4034,1
social,251.9423,685
influencer,0.0036,0
jkl,0.0007,0
jkl,0.0347,0
search,0.8973,1
jkl,0.0059,0
jkl,10.0232,9
search,1.1656,0
search,0.1088,0
search,0.0047,0
influencer,45.7472,433
social,47.2418,377
search,0.0031,0
search,1.659,0
influencer,0.131,0
search,0.3619,0
influencer,0.0012,0
,0.0016,0
influencer,0.2276,0
influencer,0.0258,0
,0.0016,0
social,76716.4,9
jkl,0.0414,0
search,0.9853,0
jkl,0.6885,1
social,0.8059,3
influencer,0.0171,0
search,3.2141,0
,0.004,0
influencer,0.2511,1
social,28.7402,193
jkl,0.0706,0
social,1.1449,0
,0.004,0
influencer,0.0667,0
social,89.5553,379
influencer,0.0684,0
influencer,0.3531,0
influencer,1.2246,0
jkl,0.0245,0
jkl,24.0242,181
social,0.006,0
search,0.7951,0
search,1.4708,0
,0.004,0
search,1.0102,3
social,337.5558,702
influencer,1.3531,0
social,5.4672,9
influencer,0.0473,0
jkl,0.267,0
search,0.5032,0
search,0.4578,1
social,4.519,3
social,0.0018,0
search,0.5941,0
social,186.2797,446
influencer,0.9477,0
search,0.0349,0
social,0.0652,0
social,70.0686,364
search,9.8886,48
social,209.5279,408
social,0.2547,0
social,83.9488,378
search,0.0106,0
influencer,0.0024,0
jkl,0.0197,0
search,0.4303,1
social,0.107,0
search,0.1214,0
social,9.7459,17
social,0.5274,1
search,0.4712,2
influencer,0.4521,0
social,8.5414,13
social,32.7957,22
jkl,0.0799,0
search,9.7559,64
search,0.1105,0
search,0.0728,0
jkl,0.0066,0
search,0.0186,0
influencer,0.0635,0
influencer,0.008,0
social,0.001,0
search,0.2996,0
influencer,8.3004,6
influencer,22.4736,51
search,1.1114,0
influencer,0.9226,0
influencer,0.0219,0
,0.004,0
influencer,1.6344,0
jkl,0.0767,0
social,0.0449,0
search,0.1144,0
jkl,0.0602,0
jkl,0.1011,0
jkl,1.5179,0
influencer,0.0251,0
social,94399.9,36
social,2.2496,9
influencer,11.8776,5
search,0.1412,0
jkl,0.7256,0
search,8.8886,39
search,6.1374,4
search,0.0302,0
search,0.1567,0
social,6.7035,15
influencer,0.1197,0
social,0.0001,0
influencer,42.1673,364
social,0.1794,0
social,4.5335,5
social,0.2492,0
influencer,0.1007,0
influencer,1.4816,2
search,0.0111,0
influencer,0.1638,0
jkl,0.019,0
influencer,40.7769,186
media,193124.0,57
social,0.6308,7
social,0.9043,0
influencer,0.0004,0
search,10.1498,6
social,0.3473,0
jkl,2.2328,5
search,0.0925,0
search,0.0354,0
influencer,0.056,0
jkl,0.002,0
jkl,0.3992,0
social,0.3338,0
search,0.2604,0
influencer,0.3279,0
search,0.6845,1
social,1.1376,0
jkl,0.0093,0
social,0.3196,0
search,0.0244,0
jkl,1.7893,5
search,3.4914,0
social,0.3339,6
search,0.0158,0
search,0.0144,0
search,12.1995,14
social,6.4682,11
influencer,2.0539,0
jkl,0.3729,0
search,0.4655,1
influencer,1.8462,0
social,12.6075,19
search,0.1364,0
influencer,0.0521,0
influencer,0.1149,0
influencer,0.11,0
influencer,25.9817,80
jkl,0.0054,0
search,0.39,0
jkl,0.0221,0
social,0.4676,0
jkl,0.0123,0
influencer,0.088,0
social,0.0001,0
social,2.2933,1
jkl,0.0338,0
search,4.4408,22
search,31.8656,12
search,0.0597,0
jkl,0.0573,0
influencer,1.5512,11
social,0.2342,0
search,0.9979,0
social,2.222,1
jkl,0.0689,0
jkl,28.8412,237
influencer,0.0021,0
social,4.194,6
,0.0048,0
influencer,0.0023,0
social,114.5384,370
jkl,0.0558,0
jkl,0.0072,0
jkl,0.0242,0
jkl,0.0085,0
influencer,0.0011,0
social,268.8108,598
social,0.0014,0
jkl,0.0471,0
social,148.0878,597
search,13.8794,72
influencer,0.118,0
social,14.0987,21
influencer,13.4196,2
social,47.2973,42
social,7.8249,30
search,0.5811,0
influencer,0.0039,0
social,0.1226,0
search,5.2407,0
influencer,0.8286,0
search,1.2376,6
social,308.8014,645
search,26.6446,18
social,0.0009,0
search,0.6083,0
,0.0032,0
influencer,0.0004,0
social,0.0651,0
social,1.066,0
social,0.0003,0
search,0.1112,0
social,0.4605,0
search,0.313,0
influencer,0.346,0
influencer,13.2308,30
social,0.0009,0
influencer,0.5564,1
jkl,2.2465,0
influencer,0.0249,0
social,2.8458,0
social,1.9142,5
influencer,0.0738,0
influencer,0.1047,5
influencer,0.0079,0
influencer,0.7412,3
social,1.3976,0
search,1.1463,0
jkl,0.0072,0
social,220.8876,559
search,21.5939,34
influencer,0.0012,0
influencer,0.7447,8
search,0.4514,0
search,1.9523,7
social,171.0275,480
social,393.9345,604
search,0.8611,1
social,0.0,0
jkl,0.003,0
social,0.0003,0
search,1.4113,0
jkl,5.4008,49
search,1.0499,2
jkl,0.0279,0
social,0.0751,0
social,1.9794,0
social,7.789,3
influencer,0.0441,0
social,18.242,8
jkl,0.1059,0
jkl,0.2499,1
influencer,14.5286,5
jkl,0.0737,0
search,0.5726,1
social,52.4908,322
jkl,7.5703,6
social,0.398,0
jkl,0.0456,0
influencer,0.1062,1
jkl,0.0025,0
social,0.2954,0
jkl,0.0519,0
search,0.8042,0
social,0.3254,0
jkl,0.0002,0
influencer,0.0003,0
social,1.0392,1
search,9.7558,4
influencer,8.5988,15
influencer,0.6479,2
influencer,0.9654,0
search,0.0249,0
search,0.2231,0
social,0.0112,0
search,1.3266,3
jkl,0.0021,0
social,310.0955,775
jkl,9.9458,67
social,0.0671,0
jkl,0.0483,0
social,1.2893,4
social,4.078,1
jkl,0.004,0
search,0.067,0
search,0.9724,0
influencer,0.1953,0
jkl,0.0041,0
influencer,0.1734,0
search,0.0158,0
social,0.0,0
jkl,2.0876,1
jkl,0.3756,0
jkl,0.4274,0
influencer,0.0063,0
search,37.5667,87
search,35.4052,93
search,0.0409,0
jkl,0.0011,0
jkl,0.0106,0
jkl,0.0148,0
search,0.4159,0
jkl,0.2848,0
search,6768.87,1
social,0.015,0
jkl,0.0044,0
jkl,0.0008,0
social,192.8206,589
social,0.002,0
influencer,1.174,0
social,0.0021,0
jkl,0.0062,0
jkl,0.0015,0
jkl,0.0033,0
jkl,0.8202,0
social,0.4535,3
jkl,0.0803,0
jkl,0.0227,0
social,0.0032,0
social,0.3003,0
jkl,0.001,0
social,12.8458,15
influencer,0.0164,0
social,0.4044,3
social,2.5776,0
influencer,10.1247,22
search,0.0066,0
influencer,0.0235,0
social,2.3187,3
,0.0048,0
search,1.3183,0
social,6.6703,6
search,0.1429,0
social,0.8105,0
search,0.1169,0
search,1.081,2
search,60.6279,105
social,0.793,0
search,0.0021,0
social,0.3444,0
jkl,0.5602,0
jkl,0.0045,0
social,97.0819,59
social,4.7488,0
search,0.2554,0
search,0.1011,0
jkl,0.007,0
jkl,0.2203,0
influencer,10.5432,1
influencer,0.0222,0
influencer,0.3336,0
jkl,0.0083,0
search,2.6064,4
social,0.806,0
jkl,0.0045,0
social,5.9364,0
jkl,0.0006,0
search,0.6865,0
social,6.0315,8
jkl,0.1758,0
influencer,4.6656,15
influencer,0.8656,1
social,5.9675,8
jkl,0.0045,0
jkl,0.2035,1
influencer,34.0604,239
search,0.1683,1
influencer,11.97,12
search,1.1337,0
search,0.1689,0
search,0.0019,0
influencer,351.9167,2513
jkl,0.0171,0
social,0.0007,0
social,0.036,0
social,0.4049,0
social,5.1672,1
social,1.7138,0
social,0.0597,0
jkl,0.339,0
influencer,1.5408,0
influencer,0.4583,0
social,0.0061,0
search,1.8737,0
jkl,0.0112,0
social,0.9805,1
jkl,0.0013,0
search,0.5393,0
jkl,0.0544,0
jkl,18.4549,218
social,3.4705,0
social,3.6768,10
influencer,0.3025,1
jkl,1.0524,0
search,27.8699,17
social,0.0142,0
social,3.8404,2
search,2.3683,0
influencer,0.0004,0
search,2.6233,4
jkl,0.001,0
social,3.0032,0
,0.0136,0
jkl,0.0015,0
jkl,0.9043,0
jkl,0.1239,0
search,0.2805,0
influencer,1.1192,0
influencer,5.7295,4
influencer,3.4406,1
social,6.403,6
jkl,0.003,0
jkl,0.0604,0
social,19.5342,34
search,0.1118,0
influencer,0.109,0
search,0.0079,0
jkl,0.002,0
search,0.1294,0
influencer,0.0232,0
search,0.5325,0
search,0.3157,0
jkl,0.2221,0
influencer,0.002,0
influencer,0.1872,1
influencer,0.1625,0
search,1.1081,0
search,1.7173,3
influencer,9.8519,6
search,0.823,0
jkl,0.2218,0
search,0.0125,0
influencer,0.045,0
jkl,0.0837,4
